Gene.Symbol	Cancer.Normalized	Role	Citation.Count	Citation.Sum	Role.in.Cancer
CHD5	neuroblastoma, malignant glioma, colorectal cancer, lung non-small cell carcinoma, stomach cancer, hepatocellular carcinoma, renal cell carcinoma, nervous system cancer, laryngeal squamous cell carcinoma, ovarian cancer, breast cancer, lung cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	10, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1	26	Tumorsuppressor
CHD7	lung cancer	Driver	1	1	Driver
CHEK1	hepatocellular carcinoma, acute T cell leukemia, breast carcinoma, colorectal cancer, lung non-small cell carcinoma, malignant glioma, pancreatic cancer, leukemia	Oncogene, Tumor_Suppressor, Tumor_Suppressor, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene	2, 1, 1, 1, 1, 1, 1, 1	9	Dualrole
CHEK2	breast cancer, head and neck squamous cell carcinoma	Tumor_Suppressor, Driver	2, 1	3	Dualrole
CHFR	stomach cancer, pancreatic cancer, breast cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	2, 1, 1	4	Tumorsuppressor
CHI3L1	glioblastoma multiforme, malignant glioma	Oncogene, Driver	2, 1	3	Dualrole
CHIC2	alveolar soft part sarcoma	Driver	1	1	Driver
CHKA	lung cancer	Oncogene	1	1	Oncogene
CHL1	cervical cancer, nasopharynx carcinoma, neuroblastoma, esophagus squamous cell carcinoma, ovarian cancer, breast cancer, oral squamous cell carcinoma, neuroblastoma	Oncogene, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Driver	2, 1, 1, 1, 1, 1, 1, 1	9	Dualrole
CHMP1A	pancreatic cancer, renal cell carcinoma	Tumor_Suppressor, Tumor_Suppressor	3, 1	4	Tumorsuppressor
CHMP4B	fibrosarcoma	Oncogene	1	1	Oncogene
CHORDC1	breast cancer	Driver	1	1	Driver
CHRDL1	breast cancer, stomach cancer	Tumor_Suppressor, Tumor_Suppressor	1, 1	2	Tumorsuppressor
CHRDL2	colorectal cancer	Oncogene	1	1	Oncogene
CHRM3	lung cancer	Oncogene	1	1	Oncogene
CHUK	thymoma, breast cancer	Oncogene, Oncogene	2, 1	3	Oncogene
CIAO2A	gastrointestinal stromal tumor	Tumor_Suppressor	1	1	Tumorsuppressor
CIAPIN1	clear cell renal cell carcinoma, pancreatic cancer, lung cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	1, 1, 1	3	Tumorsuppressor
CIC	prostate cancer, mixed oligodendroglioma-astrocytoma, oligodendroglioma, malignant glioma, glioblastoma multiforme, malignant glioma, lung cancer, prostate cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Driver, Driver, Driver	2, 1, 1, 1, 1, 1, 1, 1	9	Dualrole
CIDEB	cervix carcinoma	Oncogene	1	1	Oncogene
CIITA	T-cell leukemia, lymphoma	Oncogene, Oncogene	1, 1	2	Oncogene
CIP2A	breast cancer, chronic myeloid leukemia, clear cell renal cell carcinoma, liver cancer, melanoma, colon carcinoma, urinary bladder cancer, oral squamous cell carcinoma, head and neck squamous cell carcinoma, renal cell carcinoma, urinary bladder cancer	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver, Driver, Driver	3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	13	Dualrole
CIR1	esophagus squamous cell carcinoma, malignant glioma, lung cancer, osteosarcoma	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Oncogene	1, 1, 1, 1	4	Dualrole
CIRBP	endometrial carcinoma, ovarian cancer, rectum cancer, urinary bladder cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Oncogene	1, 1, 1, 1	4	Dualrole
CISD2	malignant glioma, lung cancer	Oncogene, Oncogene	1, 1	2	Oncogene
CISH	breast cancer	Oncogene	1	1	Oncogene
CIT	prostate cancer	Oncogene	1	1	Oncogene
CITED2	ovarian carcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
CKAP2	malignant glioma, cervix carcinoma	Oncogene, Oncogene	1, 1	2	Oncogene
CKAP5	liver cancer, malignant glioma	Oncogene, Oncogene	1, 1	2	Oncogene
CKS1B	breast cancer	Oncogene	1	1	Oncogene
CKS2	hepatocellular carcinoma	Oncogene	1	1	Oncogene
CLCA1	colorectal cancer, pancreatic cancer, breast cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	3, 1, 1	5	Tumorsuppressor
CLCA2	breast cancer, colorectal cancer, colon cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	5, 1, 1	7	Tumorsuppressor
CLCA4	colon cancer	Tumor_Suppressor	1	1	Tumorsuppressor
CLCN3	stomach cancer	Oncogene	1	1	Oncogene
CLCN4	colon cancer	Driver	1	1	Driver
CLDN1	breast cancer, stomach cancer	Tumor_Suppressor, Oncogene	6, 1	7	Dualrole
CLDN11	melanoma, stomach cancer	Tumor_Suppressor, Tumor_Suppressor	1, 1	2	Tumorsuppressor
CLDN23	stomach cancer	Tumor_Suppressor	1	1	Tumorsuppressor
CLDN3	lung adenocarcinoma, ovarian cancer	Oncogene, Driver	1, 1	2	Dualrole
CLDN4	ovarian cancer	Oncogene	1	1	Oncogene
CLDN6	breast cancer	Tumor_Suppressor	3	3	Tumorsuppressor
CLDN7	stomach cancer, colorectal cancer, breast cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	2, 1, 1	4	Tumorsuppressor
CLEC18B	glioblastoma multiforme	Oncogene	1	1	Oncogene
CLEC4C	colon cancer, lung cancer	Tumor_Suppressor, Tumor_Suppressor	1, 1	2	Tumorsuppressor
CLEC4M	stomach cancer	Oncogene	1	1	Oncogene
CLIC1	pancreatic cancer	Oncogene	1	1	Oncogene
CLIC3	ovarian cancer, pancreatic cancer	Oncogene, Oncogene	1, 1	2	Oncogene
CLIC4	squamous cell carcinoma	Tumor_Suppressor	2	2	Tumorsuppressor
CLK1	breast cancer	Oncogene	1	1	Oncogene
CLK2	breast cancer	Oncogene	3	3	Oncogene
CLOCK	pancreatic cancer, breast cancer, colorectal cancer	Oncogene, Tumor_Suppressor, Oncogene	2, 1, 1	4	Dualrole
CLPTM1L	lung cancer	Oncogene	1	1	Oncogene
CLTC	peripheral T-cell lymphoma, diffuse large B-cell lymphoma	Oncogene, Driver	1, 1	2	Dualrole
CLU	neuroblastoma, ovarian cancer, skin carcinoma, prostate cancer, neuroblastoma, head and neck squamous cell carcinoma	Tumor_Suppressor, Oncogene, Tumor_Suppressor, Tumor_Suppressor, Oncogene, Oncogene	2, 2, 1, 1, 1, 1	8	Dualrole
CMIP	malignant glioma, stomach cancer	Oncogene, Oncogene	1, 1	2	Oncogene
CMPK1	acute lymphocytic leukemia	Oncogene	1	1	Oncogene
CMTM3	renal cell carcinoma, esophagus squamous cell carcinoma, testicular cancer, stomach cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	1, 1, 1, 1	4	Tumorsuppressor
CMTM4	clear cell renal cell carcinoma	Tumor_Suppressor	3	3	Tumorsuppressor
CMTM5	pancreatic cancer, leukemia, oral squamous cell carcinoma	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	1, 1, 1	3	Tumorsuppressor
CMTM7	esophageal cancer, liver cancer, lung cancer, stomach cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	1, 1, 1, 1	4	Tumorsuppressor
CMTM8	osteosarcoma, urinary bladder cancer	Tumor_Suppressor, Tumor_Suppressor	2, 1	3	Tumorsuppressor
CNDP2	pancreatic cancer, hepatocellular carcinoma, stomach cancer, ovarian cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Oncogene	3, 1, 1, 1	6	Dualrole
CNKSR1	cervical cancer	Oncogene	1	1	Oncogene
CNMD	stomach cancer	Tumor_Suppressor	1	1	Tumorsuppressor
CNN1	fibrosarcoma, leiomyosarcoma	Tumor_Suppressor, Tumor_Suppressor	1, 1	2	Tumorsuppressor
CNOT1	osteosarcoma	Oncogene	2	2	Oncogene
CNOT3	acute T cell leukemia, T-cell adult acute lymphocytic leukemia, acute T cell leukemia	Tumor_Suppressor, Tumor_Suppressor, Driver	3, 1, 1	5	Dualrole
CNOT7	colorectal cancer	Tumor_Suppressor	1	1	Tumorsuppressor
CNR1	colon cancer	Tumor_Suppressor	1	1	Tumorsuppressor
CNR2	leukemia	Oncogene	1	1	Oncogene
CNTD2	lung cancer, lung cancer	Oncogene, Driver	1, 1	2	Dualrole
CNTF	leukemia	Oncogene	2	2	Oncogene
CNTN2	hepatocellular carcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
CNTN4	ovarian cancer	Tumor_Suppressor	2	2	Tumorsuppressor
CNTNAP1	acute lymphocytic leukemia, leukemia	Oncogene, Driver	2, 1	3	Dualrole
CNTNAP2	malignant glioma	Tumor_Suppressor	4	4	Tumorsuppressor
COL1A1	rhabdomyosarcoma, dermatofibrosarcoma protuberans	Tumor_Suppressor, Oncogene	1, 1	2	Dualrole
COL1A2	chondrosarcoma, fibrosarcoma	Oncogene, Oncogene	1, 1	2	Oncogene
COL3A1	ovarian carcinoma, urinary bladder cancer	Oncogene, Oncogene	1, 1	2	Oncogene
COL6A1	cervical cancer, prostate cancer	Oncogene, Oncogene	2, 1	3	Oncogene
COLQ	Ewing sarcoma	Oncogene	1	1	Oncogene
COMMD10	clear cell renal cell carcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
COMP	lymphocytic leukemia, hepatocellular carcinoma, prostate cancer	Oncogene, Driver, Driver	1, 1, 1	3	Dualrole
COP1	myeloid neoplasm, breast cancer, urinary bladder cancer	Tumor_Suppressor, Oncogene, Oncogene	1, 1, 1	3	Dualrole
COPB2	breast cancer	Oncogene	1	1	Oncogene
COPS3	osteosarcoma	Oncogene	4	4	Oncogene
COPS5	hepatocellular carcinoma, lung non-small cell carcinoma, breast carcinoma, breast cancer, lung cancer	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene	1, 1, 1, 1, 1	5	Oncogene
COPS6	breast cancer, glioblastoma multiforme	Oncogene, Oncogene	2, 1	3	Oncogene
COPZ1	thyroid gland cancer	Oncogene	1	1	Oncogene
CORO1C	stomach cancer	Oncogene	1	1	Oncogene
COTL1	lung non-small cell carcinoma	Oncogene	1	1	Oncogene
COX2	breast cancer	Oncogene	1	1	Oncogene
COX4I1	glioblastoma multiforme	Oncogene	1	1	Oncogene
COX8A	glioblastoma multiforme, malignant glioma	Oncogene, Driver	2, 1	3	Dualrole
CPA4	lung cancer	Oncogene	1	1	Oncogene
CPEB1	melanoma, malignant glioma, glioblastoma multiforme	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	2, 1, 1	4	Tumorsuppressor
CPEB2	breast cancer	Tumor_Suppressor	1	1	Tumorsuppressor
CPEB4	pancreatic cancer, head and neck squamous cell carcinoma	Oncogene, Tumor_Suppressor	2, 1	3	Dualrole
CPED1	lung adenocarcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
CPM	breast cancer	Driver	1	1	Driver
CPNE1	lung non-small cell carcinoma	Oncogene	2	2	Oncogene
CPNE3	lung non-small cell carcinoma	Oncogene	1	1	Oncogene
CPPED1	urinary bladder cancer	Tumor_Suppressor	1	1	Tumorsuppressor
CPSF4	lung adenocarcinoma	Oncogene	1	1	Oncogene
CPT1A	luminal breast carcinoma	Driver	1	1	Driver
CPXM2	osteosarcoma	Oncogene	1	1	Oncogene
CR1	retinoblastoma	Tumor_Suppressor	1	1	Tumorsuppressor
CRABP1	esophagus squamous cell carcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
CRABP2	esophageal cancer, malignant glioma	Tumor_Suppressor, Oncogene	1, 1	2	Dualrole
CRACD	lung non-small cell carcinoma	Oncogene	1	1	Oncogene
CRCT1	esophagus squamous cell carcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
CREB1	acute myeloid leukemia, leukemia, melanoma, colorectal cancer, neuroblastoma, hepatocellular carcinoma, gastric adenocarcinoma, malignant glioma, kidney cancer, ovarian cancer, endocrine gland cancer, pancreatic cancer	Oncogene, Oncogene, Tumor_Suppressor, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver	4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	16	Dualrole
CREB3L1	urinary bladder cancer	Tumor_Suppressor	1	1	Tumorsuppressor
CREBBP	lung small cell carcinoma, medulloblastoma, peripheral T-cell lymphoma, lung small cell carcinoma, thymoma, acute promyelocytic leukemia, peripheral T-cell lymphoma	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Oncogene, Oncogene, Oncogene, Oncogene	3, 1, 1, 1, 1, 1, 1	9	Dualrole
CREBRF	glioblastoma multiforme, stomach cancer	Tumor_Suppressor, Tumor_Suppressor	2, 1	3	Tumorsuppressor
CREM	neuroblastoma, osteosarcoma	Oncogene, Oncogene	1, 1	2	Oncogene
CRH	osteosarcoma	Oncogene	1	1	Oncogene
CRIP2	nasopharynx carcinoma, ovarian cancer	Tumor_Suppressor, Tumor_Suppressor	1, 1	2	Tumorsuppressor
CRK	lung non-small cell carcinoma, malignant glioma	Oncogene, Oncogene	1, 1	2	Oncogene
CRKL	lung cancer, lung non-small cell carcinoma, chronic myeloid leukemia, lung adenocarcinoma, cervix carcinoma, laryngeal squamous cell carcinoma	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene	6, 5, 3, 1, 1, 1	17	Oncogene
CRMP1	stomach cancer	Tumor_Suppressor	1	1	Tumorsuppressor
CRNDE	malignant glioma, lung non-small cell carcinoma, hepatoblastoma, hepatocellular carcinoma, cervical cancer, osteosarcoma, multiple myeloma, liver carcinoma, gallbladder carcinoma, renal cell carcinoma, glioblastoma multiforme, ovarian cancer, pancreatic cancer, breast cancer, stomach cancer	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene	8, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1	28	Oncogene
CRNN	esophagus squamous cell carcinoma, stomach cancer	Tumor_Suppressor, Tumor_Suppressor	1, 1	2	Tumorsuppressor
CRP	colorectal cancer, osteosarcoma, essential thrombocythemia, breast cancer	Oncogene, Oncogene, Oncogene, Oncogene	1, 1, 1, 1	4	Oncogene
CRTC2	lymphoma, peripheral T-cell lymphoma	Tumor_Suppressor, Tumor_Suppressor	1, 1	2	Tumorsuppressor
CRYBG1	melanoma, nasopharynx carcinoma	Tumor_Suppressor, Tumor_Suppressor	4, 1	5	Tumorsuppressor
CRYGD	endocrine gland cancer	Oncogene	1	1	Oncogene
CSDE1	melanoma	Oncogene	1	1	Oncogene
CSE1L	osteosarcoma, ovarian cancer, urinary bladder cancer	Oncogene, Oncogene, Oncogene	1, 1, 1	3	Oncogene
CSF1	ovarian carcinoma, ovarian cancer, malignant glioma, glioblastoma multiforme, pancreatic cancer, stomach cancer, acute promyelocytic leukemia, tenosynovial giant cell tumor	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver	2, 2, 1, 1, 1, 1, 1, 1	10	Dualrole
CSF1R	breast cancer, ovarian carcinoma, breast carcinoma, leukemia, acute myeloid leukemia, hepatocellular carcinoma, choriocarcinoma, malignant glioma, ovarian cancer, lymphoma, myelodysplastic syndrome, acute lymphocytic leukemia, multiple myeloma, Hodgkin's lymphoma, stomach carcinoma, renal cell carcinoma, cervical cancer, lung carcinoma, gestational trophoblastic neoplasm, liposarcoma, cervix carcinoma, melanoma, endometrial cancer, juvenile myelomonocytic leukemia, Hodgkin's lymphoma	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver	5, 4, 4, 4, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	46	Dualrole
CSF2	leukemia, pancreatic cancer, pancreatic ductal adenocarcinoma, malignant glioma, breast cancer, urinary bladder cancer, pancreatic cancer	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver	3, 2, 1, 1, 1, 1, 1	10	Dualrole
CSF3R	chronic neutrophilic leukemia, myeloproliferative neoplasm, leukemia, myelodysplastic syndrome	Oncogene, Oncogene, Driver, Driver	2, 1, 1, 1	5	Dualrole
CSK	colon cancer, pancreatic ductal adenocarcinoma, colon carcinoma, leukemia	Tumor_Suppressor, Oncogene, Oncogene, Oncogene	1, 1, 1, 1	4	Dualrole
CSMD1	head and neck squamous cell carcinoma, breast cancer	Tumor_Suppressor, Tumor_Suppressor	3, 2	5	Tumorsuppressor
CSMD2	colorectal cancer, breast cancer	Tumor_Suppressor, Tumor_Suppressor	1, 1	2	Tumorsuppressor
CSNK1A1	colon cancer, melanoma	Tumor_Suppressor, Tumor_Suppressor	1, 1	2	Tumorsuppressor
CSNK2A1	breast cancer	Oncogene	1	1	Oncogene
CSPP1	luminal breast carcinoma	Oncogene	1	1	Oncogene
CSRP1	hepatocellular carcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
CST1	breast cancer	Oncogene	1	1	Oncogene
CST3	breast cancer	Oncogene	1	1	Oncogene
CST6	breast cancer, cervical cancer, breast carcinoma, melanoma	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	6, 1, 1, 1	9	Tumorsuppressor
CSTA	esophageal cancer, lung cancer	Tumor_Suppressor, Tumor_Suppressor	1, 1	2	Tumorsuppressor
CSTB	breast cancer	Oncogene	1	1	Oncogene
CT45A1	breast cancer	Oncogene	2	2	Oncogene
CTAG1A	testicular cancer, melanoma	Oncogene, Oncogene	1, 1	2	Oncogene
CTBP1	melanoma, osteosarcoma, breast cancer, lung adenocarcinoma, melanoma, prostate cancer	Tumor_Suppressor, Oncogene, Tumor_Suppressor, Oncogene, Oncogene, Oncogene	3, 2, 1, 1, 1, 1	9	Dualrole
CTBP2	ovarian carcinoma, ovarian cancer, fibrosarcoma	Oncogene, Oncogene, Oncogene	2, 2, 1	5	Oncogene
CTCF	breast cancer, malignant glioma, breast cancer, retinoblastoma, acute lymphocytic leukemia, neuroblastoma, B-cell lymphoma, hepatocellular carcinoma, esophageal cancer, ovarian carcinoma, prostate cancer, colon cancer	Tumor_Suppressor, Oncogene, Oncogene, Tumor_Suppressor, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver	3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1	18	Dualrole
CTCFL	breast cancer, colorectal cancer, lung non-small cell carcinoma, breast cancer, endometrial cancer, endometrial cancer	Tumor_Suppressor, Oncogene, Oncogene, Oncogene, Oncogene, Driver	1, 1, 1, 1, 1, 1	6	Dualrole
CTDSPL	acute myeloid leukemia, lung cancer, head and neck squamous cell carcinoma	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	2, 2, 1	5	Tumorsuppressor
CTHRC1	colorectal cancer, esophagus squamous cell carcinoma, pancreatic ductal adenocarcinoma, colon cancer, melanoma	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene	1, 1, 1, 1, 1	5	Oncogene
CTNNB1	colorectal cancer, colon cancer, melanoma, hepatocellular carcinoma, nephroblastoma, breast cancer, adrenal cortex cancer, endometrioid ovary carcinoma, liver cancer, colon cancer, multiple myeloma, neuroblastoma, dysgerminoma, seminoma, esophagus squamous cell carcinoma, ovary adenocarcinoma, breast carcinoma, osteosarcoma, gastrointestinal system cancer, malignant glioma, kidney cancer, ovarian cancer, thyroid gland cancer, mixed cell type cancer, lung cancer, prostate cancer, differentiated thyroid gland carcinoma, colorectal carcinoma, lymphoma, medulloblastoma, colorectal cancer, hepatocellular carcinoma, liver cancer, mesenchymal cell neoplasm	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver, Driver, Driver, Driver	14, 13, 8, 6, 5, 5, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	83	Dualrole
CTNNBIP1	ovarian cancer	Driver	1	1	Driver
CTNND1	gastroesophageal junction adenocarcinoma, esophagus squamous cell carcinoma, colon cancer, intestinal cancer, colon cancer, breast cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Oncogene, Oncogene	1, 1, 1, 1, 1, 1	6	Dualrole
CTR9	nephroblastoma	Tumor_Suppressor	2	2	Tumorsuppressor
CTSD	breast cancer	Oncogene	1	1	Oncogene
CTSH	thymoma	Oncogene	1	1	Oncogene
CTSK	osteosarcoma	Oncogene	1	1	Oncogene
CTSL	ovarian cancer	Oncogene	1	1	Oncogene
CTSZ	hepatocellular carcinoma	Oncogene	1	1	Oncogene
CTTN	esophagus squamous cell carcinoma, liver carcinoma, larynx cancer	Oncogene, Oncogene, Oncogene	2, 1, 1	4	Oncogene
CTXND1	hepatoblastoma	Tumor_Suppressor	2	2	Tumorsuppressor
CUEDC2	lung adenocarcinoma, malignant glioma	Tumor_Suppressor, Tumor_Suppressor	1, 1	2	Tumorsuppressor
CUL2	cervical cancer	Oncogene	1	1	Oncogene
CUL3	lung cancer, lung cancer	Tumor_Suppressor, Driver	1, 1	2	Dualrole
CUL4A	malignant mesothelioma, lung non-small cell carcinoma, prostate cancer, multiple myeloma, colorectal cancer, malignant pleural mesothelioma, thoracic cancer, ovarian cancer, breast cancer, colorectal carcinoma	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene	4, 2, 2, 1, 1, 1, 1, 1, 1, 1	15	Oncogene
CUL4B	malignant glioma, stomach cancer	Oncogene, Oncogene	1, 1	2	Oncogene
CUL5	renal cell carcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
CUX1	acute myeloid leukemia, breast cancer, myeloid neoplasm	Tumor_Suppressor, Oncogene, Driver	2, 1, 1	4	Dualrole
CUX2	thyroid gland papillary carcinoma	Oncogene	1	1	Oncogene
CWC27	urinary bladder cancer	Oncogene	1	1	Oncogene
CXCL1	malignant glioma, ovarian cancer, colon cancer, melanoma, prostate cancer, prostate cancer	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver	2, 1, 1, 1, 1, 1	7	Dualrole
CXCL11	prostate cancer	Tumor_Suppressor	1	1	Tumorsuppressor
CXCL12	thyroid gland cancer, breast cancer, ovarian cancer, breast cancer	Oncogene, Oncogene, Driver, Driver	1, 1, 1, 1	4	Dualrole
CXCL14	hepatocellular carcinoma, head and neck squamous cell carcinoma, breast cancer, lung cancer, clear cell renal cell carcinoma	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Oncogene	1, 1, 1, 1, 1	5	Dualrole
CXCL16	breast cancer, malignant glioma, glioblastoma multiforme	Tumor_Suppressor, Driver, Driver	1, 1, 1	3	Dualrole
CXCL17	breast cancer	Oncogene	1	1	Oncogene
CXCL2	hepatocellular carcinoma, colon cancer, breast cancer	Oncogene, Oncogene, Oncogene	2, 1, 1	4	Oncogene
CXCL3	prostate cancer	Oncogene	1	1	Oncogene
CXCL5	head and neck squamous cell carcinoma, colon cancer, ovarian cancer	Tumor_Suppressor, Tumor_Suppressor, Oncogene	1, 1, 1	3	Dualrole
CXCL8	head and neck squamous cell carcinoma, cervical cancer, lung adenocarcinoma, lung non-small cell carcinoma, pancreatic cancer, hepatocellular carcinoma, glioblastoma multiforme, prostate cancer	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver, Driver, Driver	1, 1, 1, 1, 1, 1, 1, 1	8	Dualrole
CXCR1	acute promyelocytic leukemia	Oncogene	1	1	Oncogene
CXCR2	ovarian cancer, pancreatic cancer	Oncogene, Oncogene	1, 1	2	Oncogene
CXCR3	melanoma	Driver	1	1	Driver
CXCR4	renal cell carcinoma, lung non-small cell carcinoma, breast cancer, nasopharynx carcinoma, pancreatic cancer, breast cancer, thyroid gland papillary carcinoma, glioblastoma multiforme, breast cancer, lung cancer, chondrosarcoma, medulloblastoma	Oncogene, Oncogene, Driver, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Oncogene, Oncogene, Oncogene, Oncogene, Driver, Driver	3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1	16	Dualrole
CXXC1	stomach cancer	Oncogene	1	1	Oncogene
CXXC4	stomach cancer, colorectal cancer, stomach cancer	Tumor_Suppressor, Oncogene, Oncogene	2, 1, 1	4	Dualrole
CXXC5	thyroid gland cancer	Oncogene	1	1	Oncogene
CYB5D2	cervical cancer	Tumor_Suppressor	1	1	Tumorsuppressor
CYB5R2	nasopharynx carcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
CYGB	breast cancer, hepatocellular carcinoma, head and neck squamous cell carcinoma, lung non-small cell carcinoma, melanoma, lung cancer, breast cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Oncogene	2, 1, 1, 1, 1, 1, 1	8	Dualrole
CYLD	adenoid cystic carcinoma, melanoma, B-cell lymphoma, skin cancer, lung non-small cell carcinoma, basal cell carcinoma, colon cancer, lung cancer, stomach cancer, chronic lymphocytic leukemia, breast cancer, adenoid cystic carcinoma	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Oncogene, Driver	7, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	19	Dualrole
CYP19A1	colorectal carcinoma, liver cancer	Tumor_Suppressor, Driver	1, 1	2	Dualrole
CYP1A1	prostate cancer	Oncogene	1	1	Oncogene
CYP1B1	breast cancer	Driver	1	1	Driver
CYP24A1	breast cancer, histiocytoma	Oncogene, Oncogene	2, 1	3	Oncogene
CYP26A1	breast cancer	Oncogene	2	2	Oncogene
CYP2D6	ovarian cancer	Tumor_Suppressor	1	1	Tumorsuppressor
CYP2E1	stomach cancer	Tumor_Suppressor	1	1	Tumorsuppressor
CYP3A5	hepatocellular carcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
CYP4V2	chronic lymphocytic leukemia	Oncogene	1	1	Oncogene
CYSLTR2	uveal melanoma	Oncogene	2	2	Oncogene
D2HGDH	B-cell lymphoma	Driver	1	1	Driver
DAAM1	astrocytoma	Oncogene	1	1	Oncogene
DAB1	breast cancer	Tumor_Suppressor	1	1	Tumorsuppressor
